<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.22	14:45:00	2165.95	2166.68	2165.25	2166.11	1174	0	5
2024.03.22	15:00:00	2166.11	2171.53	2165.86	2171.35	2207	0	5
2024.03.22	15:15:00	2171.35	2174.64	2170.83	2172.86	2668	0	5
2024.03.22	15:30:00	2172.91	2176.30	2171.95	2175.56	2468	0	5
2024.03.22	15:45:00	2175.56	2175.93	2173.80	2174.59	1493	0	5
2024.03.22	16:00:00	2174.61	2175.81	2172.60	2174.42	2226	0	5
2024.03.22	16:15:00	2174.43	2176.19	2174.03	2174.59	1825	0	5
2024.03.22	16:30:00	2174.59	2176.53	2173.19	2175.76	3282	0	5
2024.03.22	16:45:00	2175.76	2180.17	2175.76	2178.09	2947	0	5
2024.03.22	17:00:00	2178.14	2179.89	2174.05	2174.55	2751	0	5
2024.03.22	17:15:00	2174.50	2174.99	2172.61	2174.80	2528	0	5
2024.03.22	17:30:00	2174.82	2175.98	2171.25	2174.37	2494	0	5
2024.03.22	17:45:00	2174.33	2175.20	2172.19	2173.98	2250	0	5
2024.03.22	18:00:00	2173.97	2173.97	2168.68	2169.51	2408	0	5
2024.03.22	18:15:00	2169.50	2170.46	2166.88	2169.47	2610	0	5
2024.03.22	18:30:00	2169.47	2169.47	2167.17	2168.12	2104	0	5
2024.03.22	18:45:00	2168.12	2168.62	2165.52	2166.17	1978	0	5
2024.03.22	19:00:00	2166.17	2167.56	2165.76	2166.15	1865	0	5
2024.03.22	19:15:00	2166.15	2166.57	2165.16	2165.60	1391	0	5
2024.03.22	19:30:00	2165.58	2165.85	2164.37	2164.42	1334	0	5
2024.03.22	19:45:00	2164.43	2164.51	2161.69	2162.63	1872	0	5
2024.03.22	20:00:00	2162.68	2164.97	2162.68	2163.12	1572	0	5
2024.03.22	20:15:00	2163.10	2163.99	2157.16	2158.53	2206	0	5
2024.03.22	20:30:00	2158.49	2160.45	2157.97	2159.13	1713	0	5
2024.03.22	20:45:00	2159.13	2160.66	2158.56	2159.25	1318	0	5
2024.03.22	21:00:00	2159.25	2161.26	2158.81	2161.13	1149	0	5
2024.03.22	21:15:00	2161.13	2164.84	2160.98	2164.06	1506	0	5
2024.03.22	21:30:00	2164.06	2164.14	2162.18	2162.24	876	0	5
2024.03.22	21:45:00	2162.26	2163.19	2162.20	2163.15	693	0	5
2024.03.22	22:00:00	2163.15	2163.51	2162.03	2162.58	663	0	5
2024.03.22	22:15:00	2162.58	2163.85	2161.88	2163.23	573	0	5
2024.03.22	22:30:00	2163.23	2164.79	2162.87	2164.59	524	0	5
2024.03.22	22:45:00	2164.59	2165.19	2163.45	2164.04	720	0	5
2024.03.22	23:00:00	2164.04	2166.21	2163.69	2165.75	687	0	5
2024.03.22	23:15:00	2165.75	2167.25	2165.54	2166.08	585	0	5
2024.03.22	23:30:00	2166.10	2166.15	2164.99	2165.52	528	0	5
2024.03.22	23:45:00	2165.48	2165.74	2164.84	2165.27	476	0	5
2024.03.25	01:00:00	2165.75	2167.87	2165.23	2167.85	796	0	5
2024.03.25	01:15:00	2167.83	2167.83	2166.04	2166.33	306	0	5
2024.03.25	01:30:00	2166.33	2166.33	2165.23	2165.90	639	0	5
2024.03.25	01:45:00	2165.87	2166.98	2165.48	2166.47	531	0	5
2024.03.25	02:00:00	2166.47	2168.55	2166.04	2167.81	831	0	5
2024.03.25	02:15:00	2167.82	2168.63	2166.90	2167.00	655	0	5
2024.03.25	02:30:00	2167.00	2168.53	2166.84	2167.84	655	0	5
2024.03.25	02:45:00	2167.84	2168.95	2167.75	2168.41	606	0	5
2024.03.25	03:00:00	2168.41	2169.46	2167.05	2167.63	900	0	5
2024.03.25	03:15:00	2167.63	2167.63	2164.07	2164.96	1000	0	5
2024.03.25	03:30:00	2164.96	2166.29	2164.33	2164.84	1122	0	5
2024.03.25	03:45:00	2164.84	2165.74	2164.45	2165.57	1259	0	5
2024.03.25	04:00:00	2165.58	2166.31	2164.02	2165.71	1600	0	5
2024.03.25	04:15:00	2165.73	2173.94	2165.69	2172.51	3095	0	3
2024.03.25	04:30:00	2172.51	2176.94	2172.09	2175.48	3137	0	5
2024.03.25	04:45:00	2175.49	2175.86	2173.83	2175.24	1750	0	5
2024.03.25	05:00:00	2175.24	2176.58	2173.82	2175.90	1609	0	2
2024.03.25	05:15:00	2175.90	2177.10	2175.23	2175.54	1243	0	5
2024.03.25	05:30:00	2175.54	2178.37	2175.37	2176.40	1279	0	5
2024.03.25	05:45:00	2176.39	2176.48	2174.98	2175.17	1104	0	5
2024.03.25	06:00:00	2175.17	2175.21	2173.02	2173.83	1163	0	5
2024.03.25	06:15:00	2173.84	2174.38	2171.42	2171.42	1042	0	5
2024.03.25	06:30:00	2171.41	2172.03	2170.66	2171.53	1218	0	5
2024.03.25	06:45:00	2171.53	2172.80	2170.12	2170.62	928	0	5
2024.03.25	07:00:00	2170.64	2171.71	2170.09	2170.82	858	0	5
2024.03.25	07:15:00	2170.82	2171.19	2170.34	2170.64	529	0	5
2024.03.25	07:30:00	2170.64	2170.70	2169.63	2170.11	662	0	5
2024.03.25	07:45:00	2170.11	2170.23	2169.21	2169.46	568	0	5
2024.03.25	08:00:00	2169.46	2170.32	2168.90	2169.41	710	0	5
2024.03.25	08:15:00	2169.41	2169.42	2167.86	2168.36	761	0	5
2024.03.25	08:30:00	2168.37	2170.79	2168.15	2169.88	1609	0	0
2024.03.25	08:45:00	2169.88	2171.12	2169.24	2169.87	985	0	5
2024.03.25	09:00:00	2169.87	2170.60	2167.11	2167.79	1099	0	5
2024.03.25	09:15:00	2167.79	2167.79	2165.86	2167.18	1145	0	5
