<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.26	19:00:00	5179.82	5190.61	5162.04	5167.32	20382	0	5
2026.02.26	20:00:00	5167.62	5185.83	5160.11	5180.39	19243	0	5
2026.02.26	21:00:00	5180.51	5194.14	5179.31	5187.09	13857	0	5
2026.02.26	22:00:00	5186.96	5201.18	5186.74	5196.50	15676	0	5
2026.02.26	23:00:00	5196.44	5200.65	5182.84	5185.00	6317	0	25
2026.02.27	01:00:00	5184.64	5189.78	5175.59	5184.65	8787	0	5
2026.02.27	02:00:00	5184.62	5194.89	5169.21	5175.09	12224	0	5
2026.02.27	03:00:00	5175.10	5194.44	5166.96	5194.07	17885	0	5
2026.02.27	04:00:00	5194.05	5199.66	5173.62	5183.61	17294	0	5
2026.02.27	05:00:00	5183.57	5190.64	5181.16	5184.15	12901	0	5
2026.02.27	06:00:00	5184.13	5188.83	5180.45	5181.74	7284	0	5
2026.02.27	07:00:00	5181.75	5200.65	5181.43	5197.91	12253	0	5
2026.02.27	08:00:00	5197.88	5199.16	5184.96	5185.79	16438	0	5
2026.02.27	09:00:00	5185.77	5189.84	5175.72	5176.13	15860	0	5
2026.02.27	10:00:00	5176.11	5182.42	5173.49	5178.73	12601	0	5
2026.02.27	11:00:00	5178.32	5182.91	5172.20	5176.00	11910	0	5
2026.02.27	12:00:00	5175.99	5180.98	5168.62	5177.67	12303	0	5
2026.02.27	13:00:00	5177.67	5185.76	5172.66	5185.76	10746	0	5
2026.02.27	14:00:00	5185.74	5190.38	5183.05	5187.56	11459	0	5
2026.02.27	15:00:00	5187.41	5240.54	5186.89	5223.10	28246	0	5
2026.02.27	16:00:00	5222.82	5236.44	5213.89	5223.86	26472	0	5
2026.02.27	17:00:00	5223.80	5246.68	5214.83	5239.51	27516	0	5
2026.02.27	18:00:00	5239.53	5257.62	5221.06	5229.25	26968	0	5
2026.02.27	19:00:00	5229.30	5237.01	5220.94	5234.70	21599	0	5
2026.02.27	20:00:00	5234.68	5246.90	5222.66	5245.37	18929	0	5
2026.02.27	21:00:00	5245.36	5252.40	5240.31	5250.08	15356	0	5
2026.02.27	22:00:00	5250.06	5265.43	5248.65	5263.41	17627	0	5
2026.02.27	23:00:00	5263.30	5280.94	5257.26	5280.02	7989	0	25
2026.03.02	01:00:00	5304.24	5393.96	5301.81	5387.00	64464	0	5
2026.03.02	02:00:00	5387.07	5388.06	5341.14	5347.52	51981	0	5
2026.03.02	03:00:00	5347.52	5347.73	5302.29	5324.99	86059	0	5
2026.03.02	04:00:00	5324.99	5351.74	5317.12	5346.60	39637	0	5
2026.03.02	05:00:00	5346.62	5366.85	5344.45	5366.43	26887	0	5
2026.03.02	06:00:00	5366.39	5367.23	5345.24	5356.07	22022	0	5
